Company,Catagory,Date,High,Low,Average,Standard Deviation
Alphabet Inc,Internet,2017-12-21,1077.52002,1069,1073.26001,6.024563918
Alphabet Inc,Internet,2017-12-22,1071.719971,1067.640015,1069.679993,2.884964555
Alphabet Inc,Internet,2017-12-26,1068.859985,1058.640015,1063.75,7.226610091
Alphabet Inc,Internet,2017-12-27,1068.27002,1058.380005,1063.325013,6.993296673
Alphabet Inc,Internet,2017-12-28,1064.839966,1053.380005,1059.109986,8.103416135
Alphabet Inc,Internet,2017-12-29,1058.050049,1052.699951,1055.375,3.783090576
Alphabet Inc,Internet,2018-01-02,1075.97998,1053.02002,1064.5,16.23514341
Alphabet Inc,Internet,2018-01-03,1096.099976,1073.430054,1084.765015,16.03005558
Alphabet Inc,Internet,2018-01-04,1104.079956,1094.26001,1099.169983,6.943750407
Alphabet Inc,Internet,2018-01-05,1113.579956,1101.800049,1107.690003,8.329652121
Alphabet Inc,Internet,2018-01-08,1119.160034,1110,1114.580017,6.477122157
Alphabet Inc,Internet,2018-01-09,1118.439941,1108.199951,1113.319946,7.240766368
Alphabet Inc,Internet,2018-01-10,1112.780029,1103.97998,1108.380005,6.222574323
Alphabet Inc,Internet,2018-01-11,1114.849976,1106.47998,1110.664978,5.91848093
Alphabet Inc,Internet,2018-01-12,1131.300049,1108.01001,1119.65503,16.46854451
Alphabet Inc,Internet,2018-01-16,1148.880005,1126.660034,1137.77002,15.71189217
Alphabet Inc,Internet,2018-01-17,1139.319946,1123.48999,1131.404968,11.19346923
Alphabet Inc,Internet,2018-01-18,1140.589966,1124.459961,1132.524964,11.40563592
Alphabet Inc,Internet,2018-01-19,1143.780029,1132.5,1138.140015,7.976184998
Alphabet Inc,Internet,2018-01-22,1166.880005,1141.819946,1154.349976,17.72013766
Alphabet Inc,Internet,2018-01-23,1178.51001,1167.25,1172.880005,7.962029427
Alphabet Inc,Internet,2018-01-24,1187.050049,1167.400024,1177.225037,13.89466593
Alphabet Inc,Internet,2018-01-25,1185,1171.839966,1178.419983,9.305549282
Alphabet Inc,Internet,2018-01-26,1187.560059,1168.030029,1177.795044,13.80981665
Alphabet Inc,Internet,2018-01-29,1198,1184.060059,1191.03003,9.85702681
Alphabet Inc,Internet,2018-01-30,1187.930054,1174.51001,1181.220032,9.489404116
Alphabet Inc,Internet,2018-01-31,1186.319946,1172.099976,1179.209961,10.05503722
Alphabet Inc,Internet,2018-02-01,1187.449951,1169.359985,1178.404968,12.79153763
Alphabet Inc,Internet,2018-02-02,1131.300049,1111.170044,1121.235047,14.23406304
Alphabet Inc,Internet,2018-02-05,1114.98999,1056.73999,1085.86499,41.18897
Alphabet Inc,Internet,2018-02-06,1087.380005,1030.01001,1058.695008,40.5667125
Alphabet Inc,Internet,2018-02-07,1086.530029,1054.619995,1070.575012,22.56380143
Alphabet Inc,Internet,2018-02-08,1063.930054,1004.700012,1034.315033,41.88196435
Alphabet Inc,Internet,2018-02-09,1051.719971,997,1024.359986,38.69286256
Alphabet Inc,Internet,2018-02-12,1065.569946,1045.48999,1055.529968,14.19867305
Alphabet Inc,Internet,2018-02-13,1061.219971,1046.920044,1054.070008,10.11157535
Alphabet Inc,Internet,2018-02-14,1075.469971,1049.800049,1062.63501,18.15137592
Alphabet Inc,Internet,2018-02-15,1094.099976,1067.22998,1080.664978,18.99995638
Alphabet Inc,Internet,2018-02-16,1108.310059,1091.550049,1099.930054,11.85111672
Alphabet Inc,Internet,2018-02-20,1116.290039,1090,1103.14502,18.58986485
Alphabet Inc,Internet,2018-02-21,1136.199951,1107.51001,1121.854981,20.28685183
Alphabet Inc,Internet,2018-02-22,1125.459961,1105.150024,1115.304993,14.36129418
Alphabet Inc,Internet,2018-02-23,1129,1108.439941,1118.719971,14.53815714
Alphabet Inc,Internet,2018-02-26,1144.199951,1129.339966,1136.769959,10.50759616
Alphabet Inc,Internet,2018-02-27,1144.25,1116.790039,1130.52002,19.41712463
Alphabet Inc,Internet,2018-02-28,1127.650024,1103,1115.325012,17.43019913
Alphabet Inc,Internet,2018-03-01,1111.27002,1067.290039,1089.28003,31.0985428
Alphabet Inc,Internet,2018-03-02,1086.890015,1050.109985,1068.5,26.00740863
Alphabet Inc,Internet,2018-03-05,1101.180054,1072.27002,1086.725037,20.44248109
Alphabet Inc,Internet,2018-03-06,1105.630005,1094.5,1100.065003,7.87010201
Alphabet Inc,Internet,2018-03-07,1116.199951,1089.910034,1103.054993,18.58977859
Alphabet Inc,Internet,2018-03-08,1131.439941,1117.199951,1124.319946,10.06919349
Alphabet Inc,Internet,2018-03-09,1161,1134.290039,1147.64502,18.88679455
Alphabet Inc,Internet,2018-03-12,1178.160034,1159.199951,1168.679993,13.40680326
Alphabet Inc,Internet,2018-03-13,1178,1134.569946,1156.284973,30.70968569
Alphabet Inc,Internet,2018-03-14,1159.76001,1142.349976,1151.054993,12.3107531
Alphabet Inc,Internet,2018-03-15,1162.5,1135.660034,1149.080017,18.97872197
Alphabet Inc,Internet,2018-03-16,1156.810059,1131.359985,1144.085022,17.99591991
Alphabet Inc,Internet,2018-03-19,1119.369995,1088.920044,1104.14502,21.53136684
Alphabet Inc,Internet,2018-03-20,1105.550049,1082.420044,1093.985047,16.35538338
Alphabet Inc,Internet,2018-03-21,1108.699951,1087.209961,1097.954956,15.19571766
Alphabet Inc,Internet,2018-03-22,1083.920044,1049.640015,1066.78003,24.23964097
Alphabet Inc,Internet,2018-03-23,1066.780029,1024.869995,1045.825012,29.63486924
Alphabet Inc,Internet,2018-03-26,1059.27002,1010.580017,1034.925019,34.4290313
Alphabet Inc,Internet,2018-03-27,1064.540039,997.619995,1031.080017,47.31961691
Alphabet Inc,Internet,2018-03-28,1024.98999,984,1004.494995,28.98429989
Alphabet Inc,Internet,2018-03-29,1048.050049,1004.039978,1026.045014,31.11981964
Alphabet Inc,Internet,2018-04-02,1039.530029,994.25,1016.890015,32.01781556
Alphabet Inc,Internet,2018-04-03,1025,997.25,1011.125,19.62221318
Alphabet Inc,Internet,2018-04-04,1032.73999,996.51001,1014.625,25.61846454
Alphabet Inc,Internet,2018-04-05,1046.709961,1024,1035.354981,16.05836742
Alphabet Inc,Internet,2018-04-06,1036,1006.25,1021.125,21.03642674
Alphabet Inc,Internet,2018-04-09,1044.589966,1019.200012,1031.894989,17.95340865
Alphabet Inc,Internet,2018-04-10,1041.209961,1015.409973,1028.309967,18.24334647
Alphabet Inc,Internet,2018-04-11,1035.869995,1019.200012,1027.535004,11.78745802
Alphabet Inc,Internet,2018-04-12,1044.650024,1026.050049,1035.350037,13.15216845
Alphabet Inc,Internet,2018-04-13,1052.97998,1030.150024,1041.565002,16.1432167
Alphabet Inc,Internet,2018-04-16,1051.430054,1033.920044,1042.675049,12.38144681
